# This interpolated & filtered version of the aircraft's GPS/IMU
# information was generated with a time constant tau=1/video_PRF=0.04166 sec


# Img  Rel time       Rel_x  	 Rel_y	     Rel_z       Roll 	      Pitch        Yaw

   0           0   -47657.47    3300.739    2998.375   -0.5053711    3.092651    -161.8616   
   1   0.04166667   -47656.27    3296.841    2998.349   -0.5149952    3.088168    -161.8575   
   2   0.08333333   -47654.42    3290.809    2998.322    -0.51987    3.083057    -161.8484   
   3       0.125   -47652.83    3285.648      2998.3   -0.5267046    3.081135    -161.8425   
   4   0.1666667   -47651.68    3281.944     2998.26   -0.5367629    3.081907    -161.8359   
   5   0.2083333   -47649.84     3275.98    2998.226   -0.5417822    3.077944      -161.83   
   6        0.25   -47648.35    3271.128    2998.208   -0.5493188    3.075631    -161.8259   
   7   0.2916667   -47646.87    3266.302    2998.168   -0.5568435    3.076205    -161.8216   
   8   0.3333333   -47645.02    3260.296    2998.117   -0.5618794    3.076379     -161.816   
   9       0.375    -47643.8     3256.33    2998.094   -0.5712891    3.076172    -161.8066   
  10   0.4166667   -47641.87    3250.087    2998.061   -0.5767441    3.073626    -161.8022   
  11   0.4583333    -47640.1    3244.353    2998.023   -0.5836678     3.07423    -161.7975   
  12         0.5   -47638.52    3239.199    2997.989   -0.5905783    3.075662    -161.7932   
  13   0.5416667   -47637.04    3234.403     2997.96   -0.5978256    3.076174    -161.7887   
  14   0.5833333   -47635.49    3229.365    2997.928   -0.6054177    3.075416    -161.7831   
  15       0.625   -47633.91    3224.244    2997.894   -0.6119415    3.073426     -161.777   
  16   0.6666667   -47632.33     3219.11    2997.865   -0.6174034     3.07147    -161.7719   
  17   0.7083333   -47630.73    3213.942    2997.837   -0.6235063     3.07074    -161.7673   
  18        0.75   -47629.16     3208.84    2997.804   -0.6302557    3.070558    -161.7627   
  19   0.7916667   -47627.56    3203.657    2997.766   -0.6361856    3.069589    -161.7581   
  20   0.8333333   -47625.98     3198.54    2997.731   -0.642475    3.067473    -161.7535   
  21       0.875    -47624.4    3193.421    2997.702   -0.6512283    3.065518    -161.7486   
  22   0.9166667   -47622.87    3188.446    2997.668   -0.6607265    3.063982    -161.7428   
  23   0.9583333   -47621.39     3183.63    2997.623   -0.6686258    3.061927    -161.7373   
  24           1   -47619.84    3178.565    2997.562   -0.6762051    3.059692     -161.733   
  25    1.041667   -47618.26    3173.408    2997.503   -0.684827    3.057423    -161.7302   
  26    1.083333   -47616.65    3168.179    2997.464   -0.6939624    3.055077    -161.7277   
  27       1.125    -47614.9    3162.499    2997.429   -0.7031331     3.05288    -161.7242   
  28    1.166667   -47613.15     3156.82    2997.391   -0.712227    3.050498    -161.7208   
  29    1.208333   -47611.53    3151.595    2997.356   -0.7206493    3.048261    -161.7191   
  30        1.25   -47609.96    3146.482    2997.326   -0.7281065    3.045839     -161.718   
  31    1.291667   -47608.42    3141.501    2997.293   -0.7363233    3.042939    -161.7157   
  32    1.333333   -47606.93    3136.687    2997.262   -0.745957    3.039348    -161.7138   
  33       1.375   -47605.37    3131.631    2997.231   -0.754215    3.035535    -161.7133   
  34    1.416667   -47603.77    3126.471    2997.195   -0.7601977    3.032679    -161.7133   
  35    1.458333   -47602.19    3121.349    2997.157   -0.766546    3.030428    -161.7133   
  36         1.5   -47600.59    3116.163    2997.125   -0.7744122    3.028058    -161.7133   
  37    1.541667   -47599.01    3111.054    2997.093   -0.7815002    3.025851    -161.7133   
  38    1.583333   -47597.41    3105.887    2997.055    -0.78644    3.023522    -161.7133   
  39       1.625   -47595.88    3100.913     2997.02   -0.7917177    3.021769    -161.7135   
  40    1.666667   -47594.38    3096.075    2996.991   -0.7977388    3.021213    -161.7145   
  41    1.708333   -47592.71    3090.697    2996.955   -0.8020355    3.021198    -161.7165   
  42        1.75   -47590.93    3084.939     2996.91   -0.8053022    3.020694    -161.7183   
  43    1.791667   -47589.26    3079.538    2996.869   -0.8093529    3.018932    -161.7188   
  44    1.833333   -47587.67    3074.406    2996.838   -0.8136863    3.017046     -161.719   
  45       1.875   -47586.07    3069.219    2996.804   -0.8170529    3.017305    -161.7202   
  46    1.916667   -47584.49    3064.107    2996.765   -0.8193185    3.019375    -161.7224   
  47    1.958333   -47582.89    3058.938    2996.727   -0.8208936    3.020892    -161.7239   
  48           2   -47581.36    3053.944    2996.684   -0.8207391    3.021251    -161.7244   
  49    2.041667   -47579.89    3049.127    2996.636   -0.8194286    3.021234    -161.7254   
  50    2.083333   -47578.33    3044.081    2996.588   -0.8186424    3.021248    -161.7274   
  51       2.125   -47576.75    3038.958     2996.55   -0.8184855    3.021787    -161.7297   
  52    2.166667   -47575.15    3033.817    2996.519   -0.818481    3.023536     -161.732   
  53    2.208333   -47573.55     3028.64    2996.484   -0.8184826    3.025639    -161.7341   
  54        2.25   -47571.97    3023.531    2996.446   -0.8184773    3.026623    -161.7352   
  55    2.291667   -47570.36    3018.339    2996.412   -0.8184902    3.026733    -161.7363   
  56    2.333333   -47568.77     3013.21    2996.381   -0.8184653    3.026741    -161.7384   
  57       2.375   -47567.15    3007.983    2996.342   -0.8175047    3.027555    -161.7402   
  58    2.416667   -47565.47    3002.585    2996.298   -0.8142158    3.029795    -161.7407   
  59    2.458333    -47563.8    2997.184    2996.258   -0.8094733     3.03175    -161.7407   
  60         2.5   -47562.19    2991.985    2996.219   -0.8052909    3.032795    -161.7412   
  61    2.541667   -47560.59    2986.841    2996.182   -0.8021151    3.034523     -161.743   
  62    2.583333   -47558.98    2981.664     2996.15   -0.798139    3.036625    -161.7451   
  63       2.625    -47557.4    2976.555    2996.117   -0.7923495    3.037606    -161.7461   
  64    2.666667   -47555.78    2971.361    2996.078   -0.7866083    3.037729    -161.7462   
  65    2.708333   -47554.19    2966.233    2996.039   -0.7810544    3.037717    -161.7454   
  66        2.75    -47552.6    2961.103    2995.998   -0.7744011     3.03772    -161.7435   
  67    2.791667   -47551.05    2956.118    2995.955   -0.7677528    3.037719    -161.7416   
  68    2.833333   -47549.56    2951.297    2995.919   -0.7626944    3.037719    -161.7408   
  69       2.875   -47547.99    2946.233    2995.887   -0.7574965     3.03772    -161.7402   
  70    2.916667   -47546.39    2941.071    2995.847   -0.7515281    3.037722    -161.7384   
  71    2.958333    -47544.8    2935.938    2995.792   -0.7460017    3.037716    -161.7361   
  72           3   -47543.21    2930.806    2995.736   -0.740135    3.037733    -161.7339   
  73    3.041667   -47541.76    2926.111    2995.695   -0.7333075    3.037656    -161.7315   
  74    3.083333   -47540.34    2921.546    2995.662   -0.7264805    3.036926    -161.7293   
  75       3.125   -47538.69    2916.222    2995.623   -0.7198331    3.035605    -161.7268   
  76    3.166667   -47536.82    2910.216     2995.58   -0.7135926    3.035057     -161.724   
  77    3.208333   -47535.05    2904.518    2995.539   -0.7079155     3.03492    -161.7212   
  78        3.25    -47533.4    2899.223      2995.5   -0.7036917    3.035001    -161.7188   
  79    3.291667   -47531.85    2894.235    2995.463   -0.7005057    3.034644    -161.7165   
  80    3.333333   -47530.43    2889.676    2995.432   -0.6968542     3.03326    -161.7142   
  81       3.375   -47528.97     2884.97    2995.398   -0.693717    3.032352     -161.712   
  82    3.416667   -47527.37    2879.831     2995.36   -0.6922299    3.032214    -161.7096   
  83    3.458333   -47525.77    2874.688    2995.325   -0.6905436    3.032232    -161.7074   
  84         3.5   -47524.14    2869.458    2995.293   -0.6867875    3.032226    -161.7049   
  85    3.541667   -47522.47    2864.055    2995.255   -0.682937    3.032228    -161.7021   
  86    3.583333   -47520.78    2858.649    2995.212   -0.6798265    3.032228    -161.6992   
