# t = 174
# ID	     X	        Y         Z          U         V
0	-46978.900   650.452   -31.050     0.675     0.642
1	-47013.200   595.279   -29.657     0.634     0.690
2	-46970.800   568.943   -33.592     0.597     0.656
3	-47035.600   631.862   -29.266     0.675     0.701
4	-47009.400   455.116   -28.368     0.502     0.723
5	-46999.100   437.886   -28.555     0.482     0.718
6	-47008.700   416.664   -25.375     0.467     0.733
7	-46997.400   416.541   -21.052     0.461     0.721
8	-47040.100   395.255   -19.482     0.454     0.770
9	-47017.000   367.537   -24.733     0.422     0.755
10	-46977.700   371.779   -21.635     0.415     0.716
# 11	 -47018.800   196.761   -38.455     0.261     0.802
12	-46986.500   311.044   -39.394     0.362     0.739
13	-47027.200   361.000   -19.918     0.419     0.766
14	-46966.300   532.818   -39.944     0.562     0.661
15	-46990.600   739.412   -35.269     0.762     0.630
16	-46995.800   795.402   -30.283     0.817     0.620
17	-46968.600   825.645   -36.037     0.836     0.584
# 18	 -46979.400   961.937   -39.659     0.970     0.559
19	-47026.100   698.915   -38.467     0.735     0.673
20	-46949.300   924.894   -40.159     0.924     0.542

