# t = 116
#     X	        Y         Z          U         V
-46978.900   650.452   -31.050     0.355     0.696
-47013.200   595.279   -29.657     0.314     0.743
-46970.800   568.943   -33.592     0.277     0.710
-47035.600   631.862   -29.266     0.356     0.754
-47009.400   455.116   -28.368     0.181     0.779
-46999.100   437.886   -28.555     0.160     0.775
-47008.700   416.664   -25.375     0.139     0.791
-46997.400   416.541   -21.052     0.136     0.779
-47040.100   395.255   -19.482     0.129     0.828
-47017.000   367.537   -24.733     0.097     0.812
-46977.700   371.779   -21.635     0.087     0.775
-46986.500   311.044   -39.394     0.035     0.800
-47027.200   361.000   -19.918     0.092     0.826
-46966.300   532.818   -39.944     0.243     0.716
-46990.600   739.412   -35.269     0.443     0.682
-46995.800   795.402   -30.283     0.497     0.672
-46968.600   825.645   -36.037     0.516     0.637
-46979.400   961.937   -39.659     0.649     0.609
-47026.100   698.915   -38.467     0.417     0.725
-46949.300   924.894   -40.159     0.603     0.594

