# Feature_ID	Easting		Northing

0		738243.2	4322683.0	

1		738199.2	4322476.6


2		738257.6	4322643.4

3		738360.2	4322621.3

4		738333.99	4322488.0

5		738229.5	4322508.4



6		738401.6	4322586.7

7		738521.0	4322563.9

8		738505.6	4322476.7

9		738385.8	4322502.0

10		738158.8	4322620.5

11		738193.3	4322612.8

12		738182.1	4322555.1

13		738146.6	4322562.2

14		738539.3	4322565.7

15		738596.6	4322554.5

16		738577.9	4322455.8

17		738519.6	4322467.7

18		738609.6	4322521.1

19		738601.8	4322481.5

20		738111.8	4322622.3

21		738103.7	4322583.9

22		738229.9	4322490.3

23		738334.9	4322470.4

24		738497.9	4322464.3

# 25		738498.9	4322416.7

