# Time   PolyLine_ID   Passnumber   X Y Z R G B A

# White main parade road border

0 0 0   738238.7   4322641.8   19.1  0 0 1 1
0 0 0   738209.0   4322505.4   19.1  0 0 1 1

# Dark grey square pattern border

0 1 0   738256.4   4322637.5   19.1  1 0 1 1
0 1 0   738229.8   4322516.0   19.1  1 0 1 1

# Rays from camera through manually-selected rocket hull points:

0 2 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 2 0 738234.455998 4322562.24282 23.6495873436 1 0 0 1

0 3 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 3 0 738234.513757 4322562.52598 23.8918452306 1 0 0 1

0 4 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 4 0 738234.559213 4322562.74882 23.9377338576 1 0 0 1

0 5 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 5 0 738234.657144 4322563.22893 24.0501781186 1 0 0 1

0 6 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 6 0 738234.999195 4322564.90581 24.1594874289 1 0 0 1

0 7 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 7 0 738235.187405 4322565.82849 24.4519458136 1 0 0 1

0 8 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 8 0 738235.326692 4322566.51134 24.5555326629 1 0 0 1

0 9 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 9 0 738235.443925 4322567.08607 24.5722520071 1 0 0 1

0 10 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 10 0 738235.703098 4322568.35665 24.5805547098 1 0 0 1

0 11 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 11 0 738235.871598 4322569.18271 24.5781633931 1 0 0 1

0 12 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 12 0 738235.979721 4322569.71278 24.7795183609 1 0 0 1

0 13 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 13 0 738236.1086 4322570.3446 24.8627563751 1 0 0 1

0 14 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 14 0 738237.670062 4322577.99957 24.7888390763 1 0 0 1

0 15 0 738202.3637 4322535.217 22.1797492896 1 0 0 1
0 15 0 738239.06976 4322584.8615 24.64003047 1 0 0 1

