# Time   Feature_ID   Passnumber   X  Y  Score

0.00000     0    0    738259.0   4322619.58   -100000000.0
0.00000     1    0    738321.02  4322607.38   -100000000.0

0.00000     2    0    738256.36  4322603.19   -100000000.0
0.00000     3    0    738330.86  4322588.43   -100000000.0

0.00000     4    0    738254.08  4322625.32   -100000000.0
0.00000     5    0    738235.95  4322542.35   -100000000.0

0.00000     6    0    738233.68  4322617.67   -100000000.0
0.00000     7    0    738219.74  4322553.00   -100000000.0

0.00000     8    0    738254.35  4322617.76   -100000000.0
0.00000     9    0    738241.51  4322557.74   -100000000.0

