# Time   Feature_ID   Passnumber   X  Y  Score

0.00000     0    0    0.7065087557  0.9854289293   -100000000.0
0.00000     1    0    0.5096074343  0.8982373476   -100000000.0
0.00000     2    0    0.6175232530  0.8473255634   -100000000.0
0.00000     3    0    0.9134967327  0.9859017134   -100000000.0
0.00000     4    0     1.540112615  0.5939089060   -100000000.0
0.00000     5    0     1.730105162  0.7079877257   -100000000.0
0.00000     6    0     1.584635973  0.5366774797   -100000000.0
0.00000     7    0     1.740687847  0.6316680908   -100000000.0
0.00000     8    0     1.427395105  0.1541693211   -100000000.0
0.00000     9    0     1.596786737  0.2662054002   -100000000.0
0.00000    10    0     1.435183287  0.1229940802   -100000000.0
0.00000    11    0     1.593866229  0.2272363454   -100000000.0

