# Contour_ID Feature ID	rel_n	rel_a 	rel_z

# Contour 0  (windshield)
0	9 	 2.9347  -2.23944  2.85833
0	8 	 3.25805  -1.81781  0.87704
0	7 	 -3.45477  -0.0496891  0.76898
0	6 	 -3.85622  -0.445715  2.72962
0	5 	 -3.70182  -0.553224  2.99406
0	4 	 -1.85213  -1.04343  3.03567
0	3 	 -0.98588  -1.11882  2.45075
0	2 	 0.160172  -1.41616  2.45124
0	1 	 0.717964  -1.72756  3.10505
0	0 	 2.69675  -2.24971  3.14062

# Contour 1a (slanted strip supporting windshield wipers)
1a	7 	  -3.44401  -0.00840447  0.77653
1a	8 	  3.24501  -1.86793  0.86958
1a	13	  3.1166  -1.51609  0.6663
1a	10	  -3.28722  0.193098  0.62248

# Contour 1b (vertical front plate behind 3 horizontal rods)
1b	13	  3.11516  -1.52108  0.67099
1b	12	  3.25597  -1.28324  -0.60167
1b	11	  -3.05563  0.435169  -0.721711
1b	10	  -3.28364  0.206075  0.61886

# Contour 2 (horiz rod above center star)
2	14 	 3.2417  -1.21379  0.54306
2	15 	 -3.46088  0.583669  0.46118

# Contour 3 (horiz rod thru center star)
3	16  	 3.35355  -1.0982  0.03947
3	17  	 -3.33259  0.692201  -0.0333

# Contour 4 (horiz rod below center star)
4	18   	 3.43586  -0.984354  -0.43096
4	19   	 -3.24137  0.809906  -0.52531

# Contour 5 (slanted strip above cabin door)
5	0 	  2.69273  -2.24655  3.13661
5	20 	  2.68191  -7.07228  3.1189
5	21	  2.99354  -7.05249  2.80852
5	9 	  2.95346  -2.20285  2.87702

# Contour 6 (cabin door)
6	9 	  2.9215  -2.20325  2.86375
6	21	  3.02237  -7.05222  2.82098
6	22	  3.50891  -6.43493  -0.07365
6	23	  3.69847  -5.79166  -1.24673
6	24	  3.60188  -1.52508  -1.16369
6	8 	  3.25904  -1.8717  0.86583

# Contour 7 (horizontal strip behind cabin door)
7	25	  3.81935  -6.79903  -0.33548
7	26	  3.77352  -6.82603  -0.06637
7	27	  3.82623  -10.6714  -0.09912
7	28	  3.87625  -10.6489  -0.39171

# Contour 8 (green canister behind cabin door)
8	29	  3.65051  -6.92348  0.13787
8	30	  3.45767  -7.12438  1.80007
8	31	  3.50532  -10.9324  1.72164
8	32	  3.69216  -10.6435  0.10281

# Contour 9 (lower tan panel behind green canister)
9	34	  3.82783  -11.121  -0.08527
9	42	  3.70268  -11.2935  0.69542
9	43	  3.76321  -14.1144  0.67596
9	41	  3.89662  -13.9915  -0.14871

# Contour 10 (middle tan panel behind green canister)
10	37	  3.56955  -11.4494  1.70879
10	40	  3.65371  -14.2776  1.69925
10	43	  3.7746  -14.1143  0.67808
10	42	  3.68995  -11.2937  0.6931

# Contour 11 (Upper tan panel behind green canister)
11	37 	  3.57696  -11.4492  1.71177
11	38	  3.13377  -11.454  2.49282
11	39	  3.2045  -14.3274  2.45928
11	40	  3.63847  -14.278  1.69301

# Contour 12 (long skinny horizontal segment running at bottom of TEL)
12	33	  3.88903  -11.0718  -0.33207
12	34	  3.83403  -11.1209  -0.08442
12	35	  4.4442  -42.5465  -0.55201
12	36	  4.49239  -42.5055  -0.768656

# Contour 13a (upper slanted black/green/tan panel)
13a	40	  3.63684  -14.278  1.69172
13a	44	  3.3477  -14.364  2.17597
13a	45	  3.48568  -20.4066  2.0768
13a	46	  3.8052  -20.3674  1.54292

# Contour 13b (middle black/green/tan panel)
13b	41 	 3.87131  -13.992  -0.15246
13b	40 	 3.66442  -14.2776  1.70041
13b	46 	 3.76947  -20.3679  1.52977
13b	47	 3.96552  -20.1152  -0.22339

# Contour 14 (upper slanted green/tan panel)
14	46 	 3.7882  -20.3676  1.53262
14	45 	 3.50052  -20.4063  2.08597
14	48 	 3.60802  -25.4694  1.99312
14	49 	 3.8811  -25.4457  1.46831

# Contour 15 (middle green/tan panel)
15	46	  3.78576  -20.3677  1.53163
15	49	  3.88618  -25.4456  1.47041
