# Time   SignPost_ID   Passnumber   X  Y  Z  Label

 0.000  0  0   -244375.9541   -3518221.067    33.76234665            Rogers
 0.000  1  0   -244368.0285   -3518250.232    23.89000000             Pratt
 0.000  2  0   -244402.7500   -3518161.000    24.06000000          Advanced
 0.000  3  0   -244427.3952   -3518111.346    22.43000000        Guggenheim
 0.000  4  0   -244423.3833   -3518208.013    1.500000000     Massachusetts
 0.000  5  0   -244414.0000   -3518273.500    16.32085800            Bexley
 0.000  6  0    82533.05220    1172775.133    4.884466292            Rogers
 0.000  7  0    82533.05220    1172775.133    4.884498254             Pratt
 0.000  8  0    82533.05230    1172775.133    4.884497774          Advanced
 0.000  9  0    82533.05240    1172775.133    4.884503102        Guggenheim
 0.000 10  0    82533.05240    1172775.133    4.884570882     Massachusetts
 0.000 11  0    82533.05230    1172775.133    4.884522850            Bexley
 0.000 12  0    82533.05220    1172775.133    4.884466292            Rogers
 0.000 13  0    82533.05220    1172775.133    4.884498254             Pratt
 0.000 14  0    82533.05230    1172775.133    4.884497774          Advanced
 0.000 15  0    82533.05240    1172775.133    4.884503102        Guggenheim
 0.000 16  0    82533.05240    1172775.133    4.884570882     Massachusetts
 0.000 17  0    82533.05230    1172775.133    4.884522850            Bexley
 0.000 18  0    82532.99740    1172775.158    4.762676419            Rogers
 0.000 19  0    82532.99740    1172775.158    4.762710111             Pratt
 0.000 20  0    82532.99750    1172775.158    4.762709688          Advanced
 0.000 21  0    82532.99760    1172775.158    4.762715366        Guggenheim
 0.000 22  0    82532.99760    1172775.158    4.762786837     Massachusetts
 0.000 23  0    82532.99750    1172775.158    4.762736145            Bexley
 0.000 24  0    327533.0518    4691775.133    4.884505992            Rogers
 0.000 25  0    327533.0518    4691775.133    4.884524255             Pratt
 0.000 26  0    327533.0518    4691775.133    4.884523980          Advanced
 0.000 27  0    327533.0519    4691775.133    4.884527025        Guggenheim
 0.000 28  0    327533.0519    4691775.133    4.884565753     Massachusetts
 0.000 29  0    327533.0518    4691775.133    4.884538308            Bexley
 0.000 30  0    327533.0512    4691775.133    4.884559414            Rogers
 0.000 31  0    327533.0512    4691775.133    4.884559414             Pratt
 0.000 32  0    327533.0512    4691775.133    4.884559414          Advanced
 0.000 33  0    327533.0512    4691775.133    4.884559414        Guggenheim
 0.000 34  0    327533.0512    4691775.133    4.884559413     Massachusetts
 0.000 35  0    327533.0512    4691775.133    4.884559413            Bexley
 0.000 36  0    327533.0512    4691775.133    4.884559414            Rogers
 0.000 37  0    327533.0512    4691775.133    4.884559414             Pratt
 0.000 38  0    327533.0512    4691775.133    4.884559414          Advanced
 0.000 39  0    327533.0512    4691775.133    4.884559414        Guggenheim
 0.000 40  0    327533.0512    4691775.133    4.884559413     Massachusetts
 0.000 41  0    327533.0512    4691775.133    4.884559413            Bexley
 0.000 42  0    327533.0512    4691775.133    4.884559940            Rogers
 0.000 43  0    327533.0512    4691775.133    4.884559940             Pratt
 0.000 44  0    327533.0512    4691775.133    4.884559940          Advanced
 0.000 45  0    327533.0512    4691775.133    4.884559940        Guggenheim
 0.000 46  0    327533.0512    4691775.133    4.884559939     Massachusetts
 0.000 47  0    327533.0512    4691775.133    4.884559939            Bexley

