# Img   rel_time   rel_X   rel_Y   rel_Z   roll   pitch   yaw
0           0   -47657.47    3300.739    2998.375   -0.5053711    3.092651    161.8616   
1    0.050002   -47655.95    3295.808    2998.344   -0.5163574    3.087158    161.8561   
3    0.100001   -47653.68    3288.407    2998.312   -0.5218506    3.081665    161.8451   
4    0.150001   -47652.15    3283.466    2998.281   -0.5328369    3.081665    161.8396   
5    0.175002   -47651.39    3281.005     2998.25   -0.5383301    3.081665    161.8341   
6    0.225001   -47649.11    3273.603    2998.219   -0.5438232    3.076172    161.8286   
7    0.274999   -47647.59    3268.663    2998.188   -0.5548096    3.076172    161.8231   
8    0.325001   -47645.32    3261.261    2998.125   -0.5603027    3.076172    161.8176   
9       0.375    -47643.8     3256.33    2998.094   -0.5712891    3.076172    161.8066   
10    0.425002   -47641.51    3248.928    2998.062   -0.5767822    3.070679    161.8011   
12    0.475001   -47639.23    3241.517        2998   -0.5877686    3.076172    161.7957   
13    0.525002   -47637.71    3236.586    2997.969   -0.5932617    3.076172    161.7902   
14    0.549999   -47636.95    3234.116    2997.969   -0.5987549    3.076172    161.7902   
15    0.599998   -47634.67    3226.714    2997.906   -0.6097412    3.076172    161.7792   
16    0.650001   -47633.15    3221.774    2997.875   -0.6152344    3.070679    161.7737   
17         0.7   -47630.86    3214.372    2997.844   -0.6207275    3.070679    161.7682   
18    0.750001   -47629.34    3209.431    2997.812   -0.6317139    3.070679    161.7627   
19    0.800001   -47627.06     3202.03     2997.75   -0.637207    3.070679    161.7572   
21    0.850002   -47625.54    3197.089    2997.719   -0.6427002    3.065186    161.7517   
22    0.900004   -47623.25    3189.687    2997.688   -0.6591797    3.065186    161.7462   
23    0.925003   -47622.49    3187.217    2997.656   -0.6646729    3.065186    161.7407   
24    0.975002   -47620.96    3182.276    2997.625   -0.670166    3.059692    161.7352   
25    1.025005   -47618.71    3174.847      2997.5   -0.6811523    3.059692    161.7297   
26    1.075004   -47617.19    3169.907    2997.469   -0.6921387    3.054199    161.7297   
27    1.125004    -47614.9    3162.496    2997.438   -0.703125    3.054199    161.7242   
28    1.175003   -47612.61    3155.094    2997.375   -0.7141113    3.048706    161.7188   
30    1.225002   -47611.09    3150.153    2997.344   -0.7250977    3.048706    161.7188   
31    1.275003    -47608.8    3142.742    2997.312   -0.7305908    3.043213    161.7188   
32    1.300004   -47608.04    3140.272    2997.281   -0.736084    3.043213    161.7133   
33    1.350004   -47606.51    3135.331     2997.25   -0.7525635     3.03772    161.7133   
34    1.400004   -47604.22     3127.92    2997.219   -0.7580566    3.032227    161.7133   
35    1.450004    -47602.7    3122.979    2997.156   -0.7635498    3.032227    161.7133   
36    1.500004    -47600.4    3115.568    2997.125   -0.7745361    3.026733    161.7133   
37    1.550003   -47598.88    3110.627    2997.094   -0.7855225    3.026733    161.7133   
39    1.600002   -47596.59    3103.216    2997.031   -0.7855225     3.02124    161.7133   
40    1.650002   -47595.06    3098.275        2997   -0.7965088     3.02124    161.7133   
41    1.675003   -47594.29    3095.805        2997   -0.802002     3.02124    161.7133   
42    1.725005      -47592    3088.394    2996.938   -0.802002     3.02124    161.7188   
43    1.775003   -47589.71    3080.982    2996.875   -0.8074951     3.02124    161.7188   
44    1.825003   -47588.18    3076.041    2996.844   -0.8129883    3.015747    161.7188   
45    1.875003   -47585.88    3068.621    2996.812   -0.8184814    3.015747    161.7188   
46    1.925006   -47584.36     3063.68     2996.75   -0.8184814     3.02124    161.7242   
48    1.975004   -47582.06    3056.269    2996.719   -0.8239746     3.02124    161.7242   
49    2.025003   -47580.57     3051.32    2996.656   -0.8184814     3.02124    161.7242   
50    2.050003   -47579.81     3048.84    2996.625   -0.8184814     3.02124    161.7242   
51    2.100003   -47577.51    3041.429    2996.562   -0.8184814     3.02124    161.7297   
52    2.150005   -47575.98    3036.488    2996.531   -0.8184814     3.02124    161.7297   
53    2.200005   -47573.68    3029.067      2996.5   -0.8184814    3.026733    161.7352   
54    2.250004   -47572.15    3024.126    2996.438   -0.8184814    3.026733    161.7352   
55    2.300006   -47569.85    3016.706    2996.406   -0.8184814    3.026733    161.7352   
57    2.350003   -47568.32    3011.765    2996.375   -0.8184814    3.026733    161.7407   
58    2.400003   -47566.02    3004.344    2996.312   -0.8184814    3.026733    161.7407   
59    2.425005   -47565.25    3001.873    2996.281   -0.8129883    3.032227    161.7407   
60    2.475005   -47562.95    2994.453     2996.25   -0.8074951    3.032227    161.7407   
61    2.525005   -47561.42    2989.512    2996.188   -0.802002    3.032227    161.7407   
62    2.575005   -47559.12    2982.091    2996.156   -0.802002     3.03772    161.7462   
63    2.625004   -47557.58     2977.15    2996.125   -0.7910156     3.03772    161.7462   
64    2.675005   -47555.28    2969.729    2996.062   -0.7855225     3.03772    161.7462   
66    2.725005   -47553.74    2964.779    2996.031   -0.7800293     3.03772    161.7462   
67    2.775005   -47551.44    2957.358    2995.969   -0.769043     3.03772    161.7407   
68    2.800004   -47550.67    2954.888    2995.938   -0.7635498     3.03772    161.7407   
69    2.850005   -47549.14    2949.937    2995.906   -0.7635498     3.03772    161.7407   
70    2.900007   -47546.84    2942.517    2995.875   -0.7525635     3.03772    161.7407   
71    2.950006    -47545.3    2937.576    2995.812   -0.7470703     3.03772    161.7352   
72    3.000006   -47543.01    2930.155    2995.719   -0.7415771     3.03772    161.7352   
73    3.050005   -47541.48    2925.214    2995.688   -0.7305908     3.03772    161.7297   
75    3.100004   -47539.94    2920.264    2995.656   -0.7250977     3.03772    161.7297   
76    3.150004   -47537.64    2912.843    2995.594   -0.7141113    3.032227    161.7242   
